nombre,presentacion,precio_presentacion_iva,precio_unitario,plataforma
tags set C illumina,768,"19,983.24",26.02,1
tags set D illumina,768,"19,983.24",26.02,1
DNA clean & concentrator_5 Kit,50,"2,707.45",54.15,1
NEBNext Second Strand Synthesis Kit(ultra II directional RNA second strand kit),192,"45,991.26",239.54,1
"IDT® for Illumina® DNA/RNA UD Indexes Set A, Tagmentation (96 Indexes, 96 Samples)",96,"15,826.94",164.86,1
"IDT® for Illumina® DNA/RNA UD Indexes Set B, Tagmentation (96 Indexes, 96 Samples)",96,"15,826.94",164.86,1
"IDT® for Illumina® DNA/RNA UD Indexes Set C, Tagmentation (96 Indexes, 96 Samples)",96,"15,826.94",164.86,1
"IDT® for Illumina® DNA/RNA UD Indexes Set D, Tagmentation (96 Indexes, 96 Samples)",96,"15,826.94",164.86,1
Illumina® COVIDSeq™ Test (3072 Samples),3072,"1,174,541.76",382.34,1
IDT® for Illumina PCR Indexes Sets 1-4 (válido solo para Covidseq),384,"42,162.53",109.80,1
"Illumina® DNA PCR-Free Prep, Tagmentation (24 Samples)",24,"16,763.58",698.48,1
"Illumina® DNA Prep, (M) Tagmentation (24 Samples)",24,"19,385.69",807.74,1
"Nextera™ DNA CD Indexes (24 Indexes, 24 Samples)",24,"2,315.91",96.50,1
"Illumina® Stranded Total RNA Prep, Ligation with Ribo-Zero Plus (96 Samples)",96,"164,946.43","1,718.19",1
Nextera XT DNA Library Preparation Kit (96 samples),96,"64,152.06",668.25,1
TruSeq DNA PCR-Free High Throughput Library Prep Kit (96 samples),96,"53,039.76",552.50,1
"IDT for Illumina – TruSeq RNA UD Indexes (96 Indexes, 96 Samples)",96,"12,793.14",133.26,1
TruSeq Stranded mRNA Library Prep (96 Samples),96,"86,469.96",900.73,1
"IDT® for Illumina Nextera DNA Unique Dual Indexes Sets A-D (384 Indexes, 384 Samples)",384,"81,849.60",213.15,1
NextSeq 500/550 High Output Kit v2.5 (75 Cycles),1,"42,950.33","42,950.33",1
NextSeq 500/550 High Output Kit v2.5 (150 Cycles),1,"82,268.59","82,268.59",1
NextSeq 500/550 Mid Output Kit v2.5 (150 Cycles),1,"31,368.13","31,368.13",1
NextSeq 500/550 High Output Kit v2.5 (300 Cycles),1,"131,873.59","131,873.59",1
MiSeq Reagent Nano Kit v2 (500-cycles),1,"10,159.83","10,159.83",1
MiSeq Reagent Kit v3 (600-cycles),1,"44,398.05","44,398.05",1
iSeq 100 i1 Reagent v2 (300-cycle),8,"75,805.88","9,475.74",1
Nextera XT DNA Library Preparation Kit (96 samples),192,"64,152.06",334.13,1
NextSeq 1000/2000 P1 (600 Cycles),1,"53,226.60","53,226.60",1
"Illumina Stranded Total RNA Prep, Ligation with Ribo-Zero Plus, Ribo-Zero Plus Microbiome",96,"152,313.65","1,586.60",1
"IDT for Illumina – TruSeq RNA UD Indexes v2(96 Indexes, 96 Samples)",96,"11,440.22",119.17,1
MiSeq Reagent Kit v3 (500-cycles),1,"34,111.31","34,111.31",1
NextSeq 500/550 Mid Output Kit v2.5 (300 Cycles),1,"50,519.23","50,519.23",1
NextSeq 500/550 High Output Kit v2.5 (300 Cycles),1,"131,873.59","131,873.59",1
Psomagen_NovaSeq_line,1,"48,825.00","48,825.00",1
TruSeq DNA PCR-Free High Throughput Library Prep Kit (96 Samples),96,"53,039.76",552.50,1
"TruSeq DNA CD Indexes (96 Indexes, 96 Samples)",96,"10,197.10",106.22,1
TrueSeq Small RNA,24,"52,604.45","2,191.85",1
NextSeq 2000 P3 Reagents (300 Cycles),96,"149,814.00","1,560.56",1
